1960,f,2024-06-20
1961,f,2024-06-29
1962,f,2024-07-14
1963,f,2024-07-28
1964,f,2024-08-03
1965,sf,2024-08-17
1965,f,2024-08-25
1966,sf,2024-08-31
1966,f,2024-09-07
1967,sf1,2024-09-19
1967,sf2,2024-09-20
1967,f,2024-09-28
1968,sf1,2024-10-05
1968,sf2,2024-10-06
1968,f,2024-10-13
1969,sf1,2024-10-26
1969,sf2,2024-10-27
1969,f,2024-11-03
1970,sf1,2024-11-16
1970,sf2,2024-11-17
1970,f,2024-11-23
1971,sf1,2024-12-07
1971,sf2,2024-12-08
1971,f,2024-12-14
1972,sf1,2025-01-02
1972,sf2,2025-01-03
1972,f,2025-01-11
1973,sf1,2025-01-24
1973,sf2,2025-01-26
1973,f,2025-02-02
1974,sf1,2025-02-15
1974,sf2,2025-02-16
1974,f,2025-02-23
1975,sf1,2025-03-07
1975,sf2,2025-03-09
1975,f,2025-03-15
1976,sf1,2025-03-29
1976,sf2,2025-03-30
1976,f,2025-04-05
1977,sf1,2025-04-18
1977,sf2,2025-04-19
1977,sf3,2025-04-20
1977,f,2025-04-26
